File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\xampp\htdocs\elearning\plugins\codemirror\theme\darcula.css,54,43,41,0,7,0,4,12,4,12
C:\xampp\htdocs\elearning\plugins\codemirror\theme\dracula.css,41,29,28,0,4,0,8,15,8,15
C:\xampp\htdocs\elearning\plugins\codemirror\theme\duotone-dark.css,36,19,19,0,8,3,9,75,6,28
C:\xampp\htdocs\elearning\plugins\codemirror\theme\duotone-light.css,37,18,18,0,9,3,10,83,6,28
C:\xampp\htdocs\elearning\plugins\codemirror\theme\eclipse.css,24,22,22,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\theme\elegant.css,14,12,12,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\theme\erlang-dark.css,35,32,32,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\theme\gruvbox-dark.css,38,24,24,0,6,0,8,14,8,14
C:\xampp\htdocs\elearning\plugins\codemirror\theme\hopscotch.css,35,20,20,0,6,0,9,22,9,22
C:\xampp\htdocs\elearning\plugins\codemirror\theme\icecoder.css,44,30,30,0,11,23,3,65,3,14
C:\xampp\htdocs\elearning\plugins\codemirror\theme\idea.css,42,32,30,0,6,0,4,11,4,11
C:\xampp\htdocs\elearning\plugins\codemirror\theme\isotope.css,35,20,20,0,6,0,9,25,9,25
C:\xampp\htdocs\elearning\plugins\codemirror\theme\lesser-dark.css,48,39,38,0,5,3,4,15,4,10
C:\xampp\htdocs\elearning\plugins\codemirror\theme\liquibyte.css,96,84,71,0,8,0,4,12,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\theme\lucario.css,38,29,28,0,3,0,6,11,6,11
C:\xampp\htdocs\elearning\plugins\codemirror\theme\material-darker.css,135,100,63,0,30,0,5,9,5,9
C:\xampp\htdocs\elearning\plugins\codemirror\theme\material-ocean.css,135,100,63,0,30,0,5,9,5,9
C:\xampp\htdocs\elearning\plugins\codemirror\theme\material-palenight.css,135,100,63,0,30,0,5,9,5,9
C:\xampp\htdocs\elearning\plugins\codemirror\theme\material.css,135,100,63,0,30,0,5,9,5,9
C:\xampp\htdocs\elearning\plugins\codemirror\theme\mbo.css,38,27,27,0,6,0,5,16,5,16
C:\xampp\htdocs\elearning\plugins\codemirror\theme\mdn-like.css,47,31,31,0,7,4,9,34,9,30
C:\xampp\htdocs\elearning\plugins\codemirror\theme\midnight.css,40,30,28,0,8,0,2,8,2,8
C:\xampp\htdocs\elearning\plugins\codemirror\theme\monokai.css,42,34,33,0,7,0,1,7,1,7
C:\xampp\htdocs\elearning\plugins\codemirror\theme\moxer.css,143,105,66,0,33,0,5,10,5,10
C:\xampp\htdocs\elearning\plugins\codemirror\theme\neat.css,13,11,11,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\theme\neo.css,44,31,26,0,10,0,3,11,2,8
C:\xampp\htdocs\elearning\plugins\codemirror\theme\night.css,28,23,23,0,4,0,1,8,1,8
C:\xampp\htdocs\elearning\plugins\codemirror\theme\nord.css,43,34,33,0,7,0,2,8,2,8
C:\xampp\htdocs\elearning\plugins\codemirror\theme\oceanic-next.css,45,31,27,0,6,0,8,15,8,15
C:\xampp\htdocs\elearning\plugins\codemirror\theme\panda-syntax.css,86,75,53,0,6,0,5,14,5,14
C:\xampp\htdocs\elearning\plugins\codemirror\theme\paraiso-dark.css,39,24,24,0,6,0,9,23,9,23
C:\xampp\htdocs\elearning\plugins\codemirror\theme\paraiso-light.css,39,24,24,0,6,0,9,23,9,23
C:\xampp\htdocs\elearning\plugins\codemirror\theme\pastel-on-dark.css,53,42,38,0,3,0,8,31,8,31
C:\xampp\htdocs\elearning\plugins\codemirror\theme\railscasts.css,35,20,20,0,6,0,9,22,9,22
C:\xampp\htdocs\elearning\plugins\codemirror\theme\rubyblue.css,26,23,23,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\theme\seti.css,45,34,32,0,3,0,8,15,8,15
C:\xampp\htdocs\elearning\plugins\codemirror\theme\shadowfox.css,53,35,35,0,10,0,8,12,8,12
C:\xampp\htdocs\elearning\plugins\codemirror\theme\solarized.css,169,120,102,0,30,0,19,61,8,11
C:\xampp\htdocs\elearning\plugins\codemirror\theme\ssms.css,17,15,13,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\theme\the-matrix.css,31,28,28,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\theme\tomorrow-night-bright.css,36,22,22,0,6,0,8,15,8,15
C:\xampp\htdocs\elearning\plugins\codemirror\theme\tomorrow-night-eighties.css,39,24,24,0,6,0,9,24,9,24
C:\xampp\htdocs\elearning\plugins\codemirror\theme\ttcn.css,65,56,45,0,6,0,3,6,0,0
C:\xampp\htdocs\elearning\plugins\codemirror\theme\twilight.css,33,29,29,0,4,15,0,15,0,1
C:\xampp\htdocs\elearning\plugins\codemirror\theme\vibrant-ink.css,35,29,29,0,5,0,1,10,1,10
C:\xampp\htdocs\elearning\plugins\codemirror\theme\xq-dark.css,54,29,29,0,3,0,22,173,22,173
C:\xampp\htdocs\elearning\plugins\codemirror\theme\xq-light.css,44,20,20,0,2,0,22,173,22,173
C:\xampp\htdocs\elearning\plugins\codemirror\theme\yeti.css,45,33,31,0,4,0,8,15,8,15
C:\xampp\htdocs\elearning\plugins\codemirror\theme\yonce.css,60,47,38,0,5,10,8,25,8,16
C:\xampp\htdocs\elearning\plugins\codemirror\theme\zenburn.css,38,27,27,0,2,0,9,28,9,28
C:\xampp\htdocs\elearning\plugins\datatables-autofill\css\autoFill.bootstrap4.css,92,86,71,0,6,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-autofill\css\autoFill.bootstrap4.min.css,2,1,15,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-bs4\css\dataTables.bootstrap4.css,211,201,116,0,10,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-bs4\css\dataTables.bootstrap4.min.css,2,1,41,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-buttons\css\buttons.bootstrap4.css,196,190,147,0,6,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-buttons\css\buttons.bootstrap4.min.css,2,1,39,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-colreorder\css\colReorder.bootstrap4.css,12,10,8,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-colreorder\css\colReorder.bootstrap4.min.css,2,1,2,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-fixedcolumns\css\fixedColumns.bootstrap4.css,65,59,23,0,6,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-fixedcolumns\css\fixedColumns.bootstrap4.min.css,2,1,8,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-fixedheader\css\fixedHeader.bootstrap4.css,21,17,11,0,4,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-fixedheader\css\fixedHeader.bootstrap4.min.css,2,1,5,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-keytable\css\keyTable.bootstrap4.css,10,8,4,0,2,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-keytable\css\keyTable.bootstrap4.min.css,2,1,2,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-responsive\css\responsive.bootstrap4.css,191,188,142,0,3,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-responsive\css\responsive.bootstrap4.min.css,2,1,27,0,1,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-rowgroup\css\rowGroup.bootstrap4.css,21,17,12,0,4,0,0,0,0,0
C:\xampp\htdocs\elearning\plugins\datatables-rowgroup\css\rowGroup.bootstrap4.min.css,2,1,4,0,1,0,0,0,0,0
